
numero			INT_KW

ny_int		IDENTIFIER

;				SEMI_COLON

kapag				IF_KW

(				LEFT_PARENTHESIS

ny_int		IDENTIFIER

<				LESS_OPR

5				INTEGER

)				RIGHT_PARENTHESIS

{				LEFT_CURLY_BRACES

bawat				FOR_KW

(				LEFT_PARENTHESIS

ny_int		IDENTIFIER

=				ASS_OPR

0				INTEGER

;				SEMI_COLON

ny_int		IDENTIFIER

<				LESS_OPR

5				INTEGER

;				SEMI_COLON

ny_int		IDENTIFIER

++				INC_OPR

)				RIGHT_PARENTHESIS

{				LEFT_CURLY_BRACES

ipakita			PRINTF_KW

(				LEFT_PARENTHESIS

Mabuhay			STRING_LITERAL

)				RIGHT_PARENTHESIS

;				SEMI_COLON

}				RIGHT_CURLY_BRACES

}				RIGHT_CURLY_BRACES
